hex_id,priority_habitat_share,distance_to_priority_habitat_m,agri_opportunity_score_raw,connectivity_score,flood_opportunity_score_raw,peat_opportunity_score_raw,scenario_nature_first,scenario_balanced,scenario_low_conflict,restoration_opportunity_score,habitat_mosaic_score,cell_area_ratio,undersized_cell_penalty
hex_0081897,18.94662945790658,232.61610854209925,100.0,98.56985230494985,0.0,0.0,60.42,57.43,70.45,79.89,94.73,0.9999999999999035,1.0
hex_0073683,16.094655897527947,0.0,100.0,100.0,0.0,0.0,60.81,57.42,69.83,83.91,80.47,1.0,1.0
hex_0084515,19.02341021249753,246.43463845950643,100.0,98.48489456563325,0.0,0.0,60.4,57.42,70.46,79.75,95.12,1.0,1.0
hex_0020160,17.763588075935225,136.870951595442,100.0,99.15850335056174,0.0,0.0,60.58,57.42,70.19,81.54,88.82,1.0,1.0
hex_0006936,20.61731555528533,30.73608090288661,100.0,99.81103142196972,0.0,0.0,60.34,57.42,70.54,79.23,96.91,1.0,1.0
hex_0059884,17.01504425258905,80.45255540276369,100.0,99.50536943726176,0.0,0.0,60.66,57.41,70.02,82.57,85.08,0.9999999999999035,1.0
hex_0003325,18.115498211441132,173.50549727077706,100.0,98.93327040609734,0.0,0.0,60.51,57.41,70.26,81.01,90.58,1.0,1.0
hex_0062872,18.37816089327019,196.1720384948789,100.0,98.79391418571528,0.0,0.0,60.48,57.41,70.32,80.64,91.89,0.8823821775283472,1.0
hex_0076696,20.571468389753424,62.90793900262931,100.0,99.61323553846366,0.0,0.0,60.32,57.41,70.54,79.12,97.14,1.0,1.0
hex_0105814,16.678195963848154,55.31386265466533,100.0,99.6599246987851,0.0,0.0,60.71,57.4,69.95,83.04,83.39,0.8795955630507047,1.0
hex_0078687,16.46376773433876,37.980762257754506,100.0,99.76649037790371,0.0,0.0,60.74,57.4,69.9,83.34,82.32,1.0,1.0
hex_0059966,17.821699094012025,158.43705235335597,100.0,99.02591275103941,0.0,0.0,60.53,57.39,70.19,81.38,89.11,0.9999999999999035,1.0
hex_0054928,18.420356307748847,220.62496065875823,100.0,98.64357511208408,0.0,0.0,60.42,57.37,70.3,80.47,92.1,1.0,1.0
hex_0078252,18.082139145298125,195.6406957908829,100.0,98.79718093515996,0.0,0.0,60.46,57.37,70.23,80.93,90.41,1.0,1.0
hex_0059334,16.622480197128027,73.86732980638158,100.0,99.54585607968338,0.0,0.0,60.66,57.36,69.91,83.0,83.11,0.9999999999999035,1.0
hex_0074766,17.603583286290405,158.94176141646614,100.0,99.02280974795075,0.0,0.0,60.52,57.36,70.12,81.59,88.02,1.0,1.0
hex_0010378,17.482865593119392,153.72581506275205,100.0,99.0548779211397,0.0,0.0,60.52,57.35,70.09,81.74,87.41,1.0,1.0
hex_0056259,17.887868290795595,190.39635889849157,100.0,98.82942365629275,0.0,0.0,60.46,57.35,70.17,81.15,89.44,1.0,1.0
hex_0010240,20.35906137263578,201.16205862341798,100.0,98.76323503013224,0.0,0.0,60.22,57.35,70.55,78.66,98.2,1.0,1.0
hex_0138149,17.478087115422944,160.82677417465064,100.0,99.01122049616525,0.0,0.0,60.51,57.34,70.08,81.71,87.39,1.0,1.0
hex_0058846,18.045606527743242,207.78367332742374,100.0,98.72252466374448,0.0,0.0,60.43,57.34,70.2,80.91,90.23,1.0,1.0
hex_0066324,20.47388859504209,154.85804702954835,100.0,99.04791684287335,0.0,0.0,60.21,57.33,70.52,78.77,97.63,0.9999999999999706,1.0
hex_0055258,18.2614753679406,235.81349785261855,100.0,98.55019442750844,0.0,0.0,60.38,57.32,70.24,80.55,91.31,1.0,1.0
hex_0081701,17.164242807130982,144.66785566547148,100.0,99.11056718460073,0.0,0.0,60.53,57.32,70.0,82.1,85.82,0.9999999999999035,1.0
hex_0080039,17.102984412187965,145.29152885204928,100.0,99.10673277787869,0.0,0.0,60.52,57.31,69.98,82.16,85.51,0.9999999999999035,1.0
hex_0125114,16.783376094205472,121.95592043274962,100.0,99.2502024920039,0.0,0.0,60.56,57.3,69.91,82.59,83.92,0.9999999999999706,1.0
hex_0080739,20.47580704129776,172.99239872652262,100.0,98.93642498857659,0.0,0.0,60.17,57.3,70.5,78.68,97.62,0.9999999999999035,1.0
hex_0023888,18.095901679922978,244.8861228851133,100.0,98.49441499821785,0.0,0.0,60.35,57.28,70.18,80.67,90.48,0.9999999999999035,1.0
hex_0094692,20.86335440776091,0.0,100.0,100.0,0.0,0.0,60.18,57.27,70.4,79.14,95.68,1.0,1.0
hex_0005649,17.249925044594228,189.57300394801322,100.0,98.83448572698087,0.0,0.0,60.43,57.25,69.98,81.79,86.25,1.0,1.0
hex_0020401,17.473722576833307,207.6209749336744,100.0,98.72352495015744,0.0,0.0,60.4,57.25,70.03,81.47,87.37,1.0,1.0
hex_0094612,15.719682803715692,58.57636975184013,100.0,99.63986647051213,0.0,0.0,60.65,57.25,69.66,83.98,78.6,1.0,1.0
hex_0076099,15.464497939429256,45.62199879796687,100.0,99.71951127188302,0.0,0.0,60.67,57.24,69.59,84.3,77.32,1.0,1.0
hex_0098668,17.267841788322176,195.59314595964128,100.0,98.79747327639967,0.0,0.0,60.42,57.24,69.98,81.74,86.34,1.0,1.0
hex_0057127,15.012976324246072,6.9432837907098754,100.0,99.95731197907317,0.0,0.0,60.73,57.24,69.5,84.95,75.06,1.0,1.0
hex_0099169,17.84273441810513,247.3152645401545,100.0,98.47948038616248,0.0,0.0,60.33,57.24,70.1,80.91,89.21,1.0,1.0
hex_0013492,18.083123559622,268.32219682008343,100.0,98.35032761179743,0.0,0.0,60.3,57.24,70.16,80.57,90.42,0.9999999999999706,1.0
hex_0040557,17.46890170592167,210.80867751691764,100.0,98.70392662770891,0.0,0.0,60.39,57.24,70.03,81.46,87.34,0.9999999999999035,1.0
hex_0013490,17.167922138884446,201.67875263974594,100.0,98.76005834232188,0.0,0.0,60.4,57.22,69.95,81.81,85.84,0.9999999999999706,1.0
hex_0103992,18.003711602379713,270.24404539417105,100.0,98.33851188963745,0.0,0.0,60.29,57.22,70.13,80.63,90.02,0.9999999999999035,1.0
hex_0077441,20.69691987035071,115.45316543131776,100.0,99.29018209674864,0.0,0.0,60.08,57.21,70.4,78.74,96.52,1.0,1.0
hex_0003914,17.037527800315605,196.610636419063,100.0,98.79121764068984,0.0,0.0,60.4,57.2,69.91,81.96,85.19,1.0,1.0
hex_0077027,17.596601420729026,246.29107794785725,100.0,98.48577719038406,0.0,0.0,60.32,57.2,70.03,81.16,87.98,1.0,1.0
hex_0080644,17.260160616474092,221.82718546033567,100.0,98.63618371069025,0.0,0.0,60.35,57.19,69.95,81.61,86.3,0.9999999999999035,1.0
