hex_id,priority_habitat_share,distance_to_priority_habitat_m,agri_opportunity_score_raw,flood_extent_share,flood_weighted_share,distance_to_flood_m,flood_proximity_score,flood_opportunity_score_raw,flood_feature_source,peat_extent_share,peatland_context_share,peat_weighted_share,distance_to_peat_m,peat_proximity_score,peat_opportunity_score_raw,peat_feature_source,bird_species_richness,bird_record_count,mammal_species_richness,mammal_record_count,cell_area_ratio,connectivity_score,undersized_cell_penalty,run_profile,flood_source_path,flood_source_layer,flood_clean_path,peat_source_path,peat_source_layer,peat_clean_path,bird_species_richness_score,bird_record_coverage_score,bird_observation_score_raw,mammal_species_richness_score,mammal_record_coverage_score,mammal_observation_score_raw,biodiversity_taxa_present,biodiversity_record_coverage_score,biodiversity_observation_score_raw,scenario_nature_first,scenario_balanced,scenario_low_conflict,restoration_opportunity_score,habitat_mosaic_score,lnrs_name
hex_0009104,0.0,490.513607169363,100.0,0.13436960754861066,0.053747843019444255,144.2656416366309,99.35662997550075,33.57,dedicated_dataset,0.9542291035442364,0.9542291035442364,0.9542291035442364,0.0,100.0,96.8,dedicated_dataset,0.0,0.0,0.0,0.0,1.0,96.9851634516778,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,63.5,65.33,67.17,96.99,0.0,
hex_0009281,17.883988329016912,222.55100989558596,100.0,0.0999041600551441,0.03996166402205765,225.74217259375348,98.99327556121804,32.5,dedicated_dataset,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.0,100.0,100.0,dedicated_dataset,0.0,0.0,0.0,0.0,1.0,98.63213801066367,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,62.69,65.27,70.71,80.99,89.42,
hex_0127366,0.0,498.9636020684777,80.0,0.9999996329209986,0.3999998531683995,0.0,100.0,58.0,dedicated_dataset,0.7464914548455345,0.7464914548455345,0.7464914548455345,0.0,100.0,82.25,dedicated_dataset,0.0,0.0,0.0,0.0,1.0,96.93322737267279,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,62.96,65.02,62.37,96.93,0.0,
hex_0027449,2.0800307058094805,356.819215353277,80.0,0.8006446875288085,0.32025787501152336,0.0,100.0,52.42,dedicated_dataset,0.8322752413690679,0.8322752413690679,0.8322752413690679,0.0,100.0,88.26,dedicated_dataset,0.0,0.0,0.0,0.0,0.9999999999999706,97.80688732001012,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,63.14,64.97,62.66,95.77,10.4,
hex_0013344,7.81520078468199,312.1111268396033,100.0,0.004126271134647543,0.0016505084538590174,270.7803469919089,98.79242239176466,29.75,dedicated_dataset,0.9888828845048224,0.9888828845048224,0.9888828845048224,0.0,100.0,99.22,dedicated_dataset,0.0,0.0,0.0,0.0,0.9999999999999706,98.08167598496576,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,62.95,64.91,68.4,90.42,39.08,
hex_0009167,9.159126697855632,133.1119485381964,100.0,0.049585323148526574,0.01983412925941063,113.34288912340872,99.49453371901389,31.24,dedicated_dataset,0.9364120774017354,0.9364120774017354,0.9364120774017354,0.0,100.0,95.55,dedicated_dataset,0.0,0.0,0.0,0.0,1.0,99.18185599419513,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,62.84,64.9,68.67,90.1,45.8,
hex_0003842,16.561765488512947,84.1102393363455,100.0,0.005300376289104666,0.0021201505156418663,393.5111126340555,98.24508974344856,29.62,dedicated_dataset,0.9689000654996521,0.9689000654996521,0.9689000654996521,0.0,100.0,97.82,dedicated_dataset,0.0,0.0,0.0,0.0,1.0,99.48303447665258,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,62.31,64.64,69.96,83.01,82.81,
hex_0009455,8.176285047757757,233.88333348174552,100.0,0.0,0.0,559.7952141985859,97.50352574190431,29.25,dedicated_dataset,0.957519666470344,0.957519666470344,0.957519666470344,2.6346673032967374,99.98864349326631,97.02,dedicated_dataset,0.0,0.0,0.0,0.0,1.0,98.56248631736585,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,62.66,64.6,68.24,90.5,40.88,
hex_0009161,0.0,521.5487269878589,100.0,0.17944650208112664,0.07177860083245066,78.35539804763481,99.65056465427486,34.92,dedicated_dataset,0.859475672274346,0.859475672274346,0.859475672274346,0.0,100.0,90.16,dedicated_dataset,0.0,0.0,0.0,0.0,1.0,96.79441275252736,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,62.64,64.54,66.68,96.79,0.0,
hex_0012816,0.1122844532604822,479.4485620704327,100.0,0.05099323947036412,0.02039729578814565,95.89318816121573,99.57235276454816,31.3,dedicated_dataset,0.9198648375366576,0.9198648375366576,0.9198648375366576,0.0,100.0,94.39,dedicated_dataset,0.0,0.0,0.0,0.0,0.9999999999999706,97.05317237515212,1.0,canonical_published,data/interim/canonical_sources/ea_flood_zones_simplified.parquet,,data/interim/flood_ea_flood_zones_simplified_clean.parquet,data/interim/canonical_sources/england_peat_map_simplified.parquet,,data/interim/peat_england_peat_map_simplified_clean.parquet,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,62.81,64.53,66.62,96.94,0.56,
